FID IID sex age
HG00182 EUR_HG00182 1 59.7365506138235
HG00183 EUR_HG00183 1 42.8040417910065
HG00185 EUR_HG00185 1 63.2855352585136
HG00186 EUR_HG00186 1 63.644469035362
HG00187 EUR_HG00187 1 30.8225430344364
HG00188 EUR_HG00188 1 34.2914275983006
HG00189 EUR_HG00189 1 52.0816297973464
HG00190 EUR_HG00190 1 63.9357599384928
HG00231 EUR_HG00231 2 46.3011528932853
HG00232 EUR_HG00232 2 51.7174960755073
HG00233 EUR_HG00233 2 30.5944192331185
HG00234 EUR_HG00234 1 59.1419716219295
HG00235 EUR_HG00235 2 48.2321646770219
HG00236 EUR_HG00236 2 33.0837173178878
HG00237 EUR_HG00237 2 53.1223492636226
HG00238 EUR_HG00238 2 61.4423468228227
HG00239 EUR_HG00239 2 48.8088959294113
HG00240 EUR_HG00240 2 52.3539355268777
HG00242 EUR_HG00242 1 50.52844570486
HG00243 EUR_HG00243 1 66.5471302263158
HG00244 EUR_HG00244 1 39.2139763184886
HG00245 EUR_HG00245 2 66.9089241721369
HG00246 EUR_HG00246 1 44.1524949165479
HG00247 EUR_HG00247 2 55.0289628987439
HG00249 EUR_HG00249 2 47.9246046141963
HG00250 EUR_HG00250 2 55.8516564306627
HG00251 EUR_HG00251 1 57.5712925922101
HG00252 EUR_HG00252 1 68.8444465025606
HG00253 EUR_HG00253 2 48.5098636089255
HG00254 EUR_HG00254 2 54.6803033253999
HG00255 EUR_HG00255 2 49.3060918518397
HG00256 EUR_HG00256 1 47.6007780135119
HG00257 EUR_HG00257 2 59.2792261252534
HG00258 EUR_HG00258 2 64.3619104144753
HG00259 EUR_HG00259 2 41.392981291204
HG00260 EUR_HG00260 1 45.1482180876845
HG00261 EUR_HG00261 2 47.6505566352329
HG00262 EUR_HG00262 2 48.0950841018692
HG00263 EUR_HG00263 2 59.5956503510873
HG00264 EUR_HG00264 1 49.3118691141864
HG00265 EUR_HG00265 1 51.2204599184362
HG00266 EUR_HG00266 2 52.5398356772178
HG00267 EUR_HG00267 1 34.3459144467812
HG00268 EUR_HG00268 2 43.4654829435698
HG00269 EUR_HG00269 2 49.8929022932429
HG00270 EUR_HG00270 2 47.2634356670735
HG00271 EUR_HG00271 1 42.7607022481377
HG00272 EUR_HG00272 2 57.4100543217037
HG00273 EUR_HG00273 1 45.6858138289219
HG00274 EUR_HG00274 2 56.0639249556309
HG00275 EUR_HG00275 2 36.8899542867752
HG00276 EUR_HG00276 2 46.1836000767497
HG00277 EUR_HG00277 1 41.4247080628238
HG00278 EUR_HG00278 1 49.7322603522898
HG00280 EUR_HG00280 1 23.8016103010283
HG00281 EUR_HG00281 2 68.2399562123402
HG00282 EUR_HG00282 2 32.0021777932847
HG00284 EUR_HG00284 1 59.0029563058375
HG00285 EUR_HG00285 2 53.6904442500712
HG00306 EUR_HG00306 2 49.591637502573
HG00309 EUR_HG00309 2 61.49901749538
HG00310 EUR_HG00310 1 44.9843599775022
HG00311 EUR_HG00311 1 44.0225642952479
HG00312 EUR_HG00312 1 44.4030705582567
HG00313 EUR_HG00313 2 57.7726553632638
HG00315 EUR_HG00315 2 60.3153506399388
HG00318 EUR_HG00318 2 55.2946402951797
HG00319 EUR_HG00319 2 56.9211425392914
HG00320 EUR_HG00320 2 53.6019489795892
HG00321 EUR_HG00321 1 27.8502609749206
HG00323 EUR_HG00323 2 46.5823877263868
HG00324 EUR_HG00324 2 55.0524502563116
HG00325 EUR_HG00325 1 47.2524138210854
HG00326 EUR_HG00326 2 48.4414762095084
HG00327 EUR_HG00327 2 34.3245861403856
HG00328 EUR_HG00328 2 53.4071620760715
HG00329 EUR_HG00329 1 43.1934423877415
HG00330 EUR_HG00330 2 63.2870598954807
HG00331 EUR_HG00331 2 63.4289603542219
HG00332 EUR_HG00332 2 49.1789032657934
HG00334 EUR_HG00334 2 70.0941267599214
HG00335 EUR_HG00335 1 53.5314320261641
HG00336 EUR_HG00336 1 54.7773362489535
HG00337 EUR_HG00337 2 62.5820790905907
HG00338 EUR_HG00338 1 43.0883888985596
HG00339 EUR_HG00339 2 56.2287578017766
HG00341 EUR_HG00341 1 57.2868528628283
HG00342 EUR_HG00342 1 53.3725737081349
HG00343 EUR_HG00343 2 53.0385594297433
HG00344 EUR_HG00344 2 61.4338631682993
HG00345 EUR_HG00345 1 49.8970346419568
HG00346 EUR_HG00346 2 56.2127569838229
HG00349 EUR_HG00349 2 59.8267648831316
HG00350 EUR_HG00350 2 42.7414935537422
HG00351 EUR_HG00351 1 48.4655773339078
HG00353 EUR_HG00353 2 55.9446637298845
HG00355 EUR_HG00355 2 35.0991151432
HG00356 EUR_HG00356 2 54.4914174234236
HG00357 EUR_HG00357 2 48.9966931326143
HG00358 EUR_HG00358 1 51.3083610226144
HG00359 EUR_HG00359 2 52.5978823073839
HG00360 EUR_HG00360 1 34.2794048574154
HG00361 EUR_HG00361 2 65.0828174256417
HG00362 EUR_HG00362 2 52.0026476072435
HG00364 EUR_HG00364 2 48.3388626745488
HG00366 EUR_HG00366 1 71.9745496769844
HG00367 EUR_HG00367 2 40.9510435349143
HG00369 EUR_HG00369 1 53.1792272703799
HG00372 EUR_HG00372 1 55.6953027832448
HG00373 EUR_HG00373 2 54.7015471676559
HG00375 EUR_HG00375 1 63.8109798586765
HG00376 EUR_HG00376 2 60.8358600710202
HG00377 EUR_HG00377 2 37.6353369044708
HG00378 EUR_HG00378 2 51.4840568827708
HG00381 EUR_HG00381 2 54.4623670810875
HG00382 EUR_HG00382 1 51.7429972461751
HG00383 EUR_HG00383 2 45.3316994190503
HG00384 EUR_HG00384 2 58.9732688268394
HG00403 ASN_HG00403 1 52.3564250672843
HG00404 ASN_HG00404 2 48.763957489802
HG00406 ASN_HG00406 1 54.9466306637425
HG00407 ASN_HG00407 2 64.4918428242895
HG00418 ASN_HG00418 1 35.2825834957421
HG00419 ASN_HG00419 2 29.8292909681157
HG00421 ASN_HG00421 1 63.6076956844658
HG00422 ASN_HG00422 2 49.5238241921333
HG00427 ASN_HG00427 1 21.3929634491185
HG00428 ASN_HG00428 2 59.6146452684435
HG00436 ASN_HG00436 1 59.5953578456144
HG00437 ASN_HG00437 2 50.025480751038
HG00442 ASN_HG00442 1 47.3362284889224
HG00443 ASN_HG00443 2 52.9265123057563
HG00445 ASN_HG00445 1 77.6549685398067
HG00446 ASN_HG00446 2 64.8144121768555
HG00448 ASN_HG00448 1 41.4769532733244
HG00449 ASN_HG00449 2 44.680667388813
HG00451 ASN_HG00451 1 42.620739963049
HG00452 ASN_HG00452 2 50.803518937835
HG00457 ASN_HG00457 1 63.6527892176366
HG00458 ASN_HG00458 2 39.7422988098791
HG00463 ASN_HG00463 1 46.8591049431169
HG00464 ASN_HG00464 2 51.4237158954517
HG00472 ASN_HG00472 1 52.4468301130756
HG00473 ASN_HG00473 2 52.6174815123824
HG00475 ASN_HG00475 1 40.1723914204452
HG00476 ASN_HG00476 2 49.2424053008781
HG00478 ASN_HG00478 1 61.7676851020484
HG00479 ASN_HG00479 2 45.7136691717773
HG00500 ASN_HG00500 1 50.8689602198112
HG00501 ASN_HG00501 2 42.2487512337021
HG00512 ASN_HG00512 1 45.9294268395572
HG00513 ASN_HG00513 2 42.9984851680203
HG00524 ASN_HG00524 1 45.5851778527454
HG00525 ASN_HG00525 2 33.4876342320486
HG00530 ASN_HG00530 1 45.677895600207
HG00531 ASN_HG00531 2 79.571593323572
HG00533 ASN_HG00533 1 56.4346273257748
HG00534 ASN_HG00534 2 42.9499375772838
HG00536 ASN_HG00536 1 49.5937723399214
HG00537 ASN_HG00537 2 43.5475166495951
HG00542 ASN_HG00542 1 43.5345415109093
HG00543 ASN_HG00543 2 45.4962572311702
HG00553 AMR_HG00553 1 48.2762703084793
HG00554 AMR_HG00554 2 47.5062645171986
HG00556 ASN_HG00556 1 46.3940946617712
HG00557 ASN_HG00557 2 47.0098124745121
HG00559 ASN_HG00559 1 46.1006769097582
HG00560 ASN_HG00560 2 65.8781835106021
HG00565 ASN_HG00565 1 47.0923833862569
HG00566 ASN_HG00566 2 31.9627009333033
HG00577 ASN_HG00577 1 59.4374009203486
HG00578 ASN_HG00578 2 51.0626615330666
HG00580 ASN_HG00580 1 54.7848273414651
HG00581 ASN_HG00581 2 63.3073396807849
HG00583 ASN_HG00583 1 60.6311388819352
HG00584 ASN_HG00584 2 43.9908266181638
HG00589 ASN_HG00589 1 48.3376157848544
HG00590 ASN_HG00590 2 63.1526785738266
HG00592 ASN_HG00592 1 44.2549841450481
HG00593 ASN_HG00593 2 61.3340191041336
HG00595 ASN_HG00595 1 32.1583368572904
HG00596 ASN_HG00596 2 44.9308771640753
HG00607 ASN_HG00607 1 56.5464735396392
HG00608 ASN_HG00608 2 59.4082398846204
HG00610 ASN_HG00610 1 52.6308720163255
HG00611 ASN_HG00611 2 72.2963233942565
HG00613 ASN_HG00613 1 51.5614249301082
HG00614 ASN_HG00614 2 53.5907825728566
HG00619 ASN_HG00619 1 69.9372111017584
HG00620 ASN_HG00620 2 46.0174809283524
HG00625 ASN_HG00625 1 59.2756567128681
HG00626 ASN_HG00626 2 51.6415447412003
HG00628 ASN_HG00628 1 40.9154797465438
HG00629 ASN_HG00629 2 51.7977514489843
HG00634 ASN_HG00634 1 49.8091838623398
HG00635 ASN_HG00635 2 51.824793902725
HG00637 AMR_HG00637 1 58.613347641628
HG00638 AMR_HG00638 2 65.2107102017995
HG00640 AMR_HG00640 1 57.9010702034172
HG00641 AMR_HG00641 2 40.9978325445176
HG00650 ASN_HG00650 1 59.5481054893834
HG00651 ASN_HG00651 2 21.5212702920742
HG00653 ASN_HG00653 1 59.7809560459327
HG00654 ASN_HG00654 2 55.2527657208363
HG00656 ASN_HG00656 1 45.943403300259
HG00657 ASN_HG00657 2 42.4049935682843
HG00662 ASN_HG00662 1 45.8861470804437
HG00663 ASN_HG00663 2 49.0481194236389
HG00671 ASN_HG00671 1 65.4786510131667
HG00672 ASN_HG00672 2 55.9612781176732
HG00683 ASN_HG00683 1 45.8840176571879
HG00684 ASN_HG00684 2 61.5073634671446
HG00689 ASN_HG00689 1 53.0824033177169
HG00690 ASN_HG00690 2 42.0062809471948
HG00692 ASN_HG00692 1 22.9503118514124
HG00693 ASN_HG00693 2 58.6043787551687
HG00698 ASN_HG00698 1 51.2378238908815
HG00699 ASN_HG00699 2 58.3189978776
HG00701 ASN_HG00701 1 29.7018353995066
HG00702 ASN_HG00702 2 54.8853718887205
HG00704 ASN_HG00704 1 55.3819496176092
HG00705 ASN_HG00705 2 49.6665564642723
HG00707 ASN_HG00707 1 57.8999516834158
HG00708 ASN_HG00708 2 59.4648214832977
HG00731 AMR_HG00731 1 47.1438360271664
HG00732 AMR_HG00732 2 44.8493757029563
HG00734 AMR_HG00734 2 53.5482970364554
HG00736 AMR_HG00736 1 40.631078729637
HG00737 AMR_HG00737 2 62.1669545745879
HG00740 AMR_HG00740 2 24.7742155895866
HG01047 AMR_HG01047 1 47.4717834367802
HG01048 AMR_HG01048 1 67.4710451507998
HG01051 AMR_HG01051 1 81.4572871050594
HG01052 AMR_HG01052 2 25.2187787575521
HG01055 AMR_HG01055 2 66.7296034171283
HG01060 AMR_HG01060 1 38.3022137986254
HG01061 AMR_HG01061 2 48.455947446527
HG01066 AMR_HG01066 1 49.8540534229501
HG01067 AMR_HG01067 2 46.1900744196493
HG01069 AMR_HG01069 1 58.3740382885982
HG01070 AMR_HG01070 2 48.5493415894282
HG01072 AMR_HG01072 1 43.9872894483066
HG01073 AMR_HG01073 2 40.1149801810997
HG01075 AMR_HG01075 1 40.0875350767733
HG01079 AMR_HG01079 1 57.7229075839786
HG01080 AMR_HG01080 2 40.063821265482
HG01082 AMR_HG01082 1 73.1747044672445
HG01083 AMR_HG01083 2 36.8490263883859
HG01085 AMR_HG01085 1 56.2842754980187
HG01095 AMR_HG01095 2 53.305757191672
HG01097 AMR_HG01097 1 46.1493181828329
HG01098 AMR_HG01098 2 57.3542956768816
HG01101 AMR_HG01101 1 72.1227824770453
HG01102 AMR_HG01102 2 52.7398403254487
HG01104 AMR_HG01104 1 46.7960295791845
HG01105 AMR_HG01105 2 40.6683519057323
HG01107 AMR_HG01107 1 49.7306901025025
HG01108 AMR_HG01108 2 50.2153528887242
HG01112 AMR_HG01112 1 40.9895193019307
HG01113 AMR_HG01113 2 46.2581026436462
HG01124 AMR_HG01124 1 50.7497881757414
HG01125 AMR_HG01125 2 39.9354636105302
HG01133 AMR_HG01133 1 47.7045530667254
HG01134 AMR_HG01134 2 50.3280927686533
HG01136 AMR_HG01136 1 54.235944339624
HG01137 AMR_HG01137 2 49.6285399109421
HG01140 AMR_HG01140 2 47.2204290771129
HG01148 AMR_HG01148 1 59.3517287818796
HG01149 AMR_HG01149 2 49.3168566726999
HG01167 AMR_HG01167 1 42.4799779732037
HG01168 AMR_HG01168 2 53.286621900392
HG01170 AMR_HG01170 1 41.5099138260494
HG01171 AMR_HG01171 2 55.8359111788836
HG01173 AMR_HG01173 1 45.8196019308983
HG01174 AMR_HG01174 2 58.597391379184
HG01176 AMR_HG01176 1 51.4532862667407
HG01183 AMR_HG01183 2 48.0816878397565
HG01187 AMR_HG01187 1 53.2856258655924
HG01188 AMR_HG01188 2 59.7666545452905
HG01190 AMR_HG01190 1 64.9763630011593
HG01191 AMR_HG01191 2 60.7284221956224
HG01197 AMR_HG01197 1 43.9887280702007
HG01198 AMR_HG01198 2 33.3856620966191
HG01204 AMR_HG01204 1 33.9456259790192
HG01250 AMR_HG01250 1 58.4467829738099
HG01251 AMR_HG01251 2 72.7167920261725
HG01257 AMR_HG01257 2 64.5150533187403
HG01259 AMR_HG01259 1 43.166495410453
HG01271 AMR_HG01271 1 46.7725947134236
HG01272 AMR_HG01272 2 57.5721202307861
HG01274 AMR_HG01274 1 49.4080985396336
HG01275 AMR_HG01275 2 63.2353468663008
HG01277 AMR_HG01277 1 59.9166148261423
HG01278 AMR_HG01278 2 62.109758623749
HG01334 EUR_HG01334 1 46.8456636391056
HG01342 AMR_HG01342 2 50.484315631333
HG01344 AMR_HG01344 1 52.9792505951466
HG01345 AMR_HG01345 2 39.6825251280624
HG01350 AMR_HG01350 1 39.0978744436903
HG01351 AMR_HG01351 2 41.5457358904535
HG01353 AMR_HG01353 1 73.1113547627179
HG01354 AMR_HG01354 2 57.3587745707348
HG01356 AMR_HG01356 1 59.9365721593055
HG01357 AMR_HG01357 2 53.1915021414759
HG01359 AMR_HG01359 1 44.6143063253969
HG01360 AMR_HG01360 2 49.3121278426086
HG01365 AMR_HG01365 1 57.5427224431304
HG01366 AMR_HG01366 2 42.3764679550217
HG01374 AMR_HG01374 1 51.3936591991542
HG01375 AMR_HG01375 2 53.6605570512015
HG01377 AMR_HG01377 1 38.8218495182068
HG01378 AMR_HG01378 2 65.242810321776
HG01383 AMR_HG01383 1 39.9316229010068
HG01384 AMR_HG01384 2 52.1097295702922
HG01389 AMR_HG01389 1 63.3177225798474
HG01390 AMR_HG01390 2 57.6019486634188
HG01437 AMR_HG01437 1 45.9089158283981
HG01440 AMR_HG01440 1 38.504197279711
HG01441 AMR_HG01441 2 51.9286813139924
HG01455 AMR_HG01455 1 44.7457220067661
HG01456 AMR_HG01456 2 46.6217408949751
HG01461 AMR_HG01461 1 39.4693743714639
HG01462 AMR_HG01462 2 32.9056192618955
HG01465 AMR_HG01465 2 44.8165145684822
HG01488 AMR_HG01488 1 63.3628496357415
HG01489 AMR_HG01489 2 57.8193908740745
HG01491 AMR_HG01491 1 56.7584639443974
HG01492 AMR_HG01492 2 61.2811789019039
HG01494 AMR_HG01494 1 77.9804979268923
HG01495 AMR_HG01495 2 65.0483312003245
HG01497 AMR_HG01497 1 53.6769257940501
HG01498 AMR_HG01498 2 63.2577081286138
HG01515 EUR_HG01515 1 62.7397784093889
HG01516 EUR_HG01516 2 35.0292967415658
HG01518 EUR_HG01518 1 37.5999674376515
HG01519 EUR_HG01519 2 50.5120673075528
HG01521 EUR_HG01521 1 50.2988914920319
HG01522 EUR_HG01522 2 51.8122142249791
HG01550 AMR_HG01550 1 76.2098890315143
HG01551 AMR_HG01551 2 55.0448582034148
HG01617 EUR_HG01617 1 33.8743522817012
HG01618 EUR_HG01618 2 49.8425817415362
HG01619 EUR_HG01619 1 50.8248460209203
HG01620 EUR_HG01620 2 39.6402718119311
HG01623 EUR_HG01623 2 42.157679394172
HG01624 EUR_HG01624 1 46.9372592428443
HG01625 EUR_HG01625 1 43.7318017869664
HG01626 EUR_HG01626 2 56.6268204005378
NA06984 EUR_NA06984 1 41.2172889658471
NA06986 EUR_NA06986 1 59.0929971544625
NA06989 EUR_NA06989 2 49.9388442802399
NA06994 EUR_NA06994 1 47.4694055486908
NA07000 EUR_NA07000 2 53.5977854257388
NA07037 EUR_NA07037 2 61.2086054503505
NA07048 EUR_NA07048 1 44.0208203104796
NA07051 EUR_NA07051 1 38.7653742279871
NA07056 EUR_NA07056 2 42.7720015111395
NA07347 EUR_NA07347 1 35.4854942561577
NA07357 EUR_NA07357 1 51.1510253617564
NA10847 EUR_NA10847 2 56.977662416016
NA10851 EUR_NA10851 1 57.225605986733
NA11829 EUR_NA11829 1 47.1191434858299
NA11830 EUR_NA11830 2 50.7898391767934
NA11831 EUR_NA11831 1 54.68685111085
NA11843 EUR_NA11843 1 59.0388209846384
NA11892 EUR_NA11892 2 62.4676523565467
NA11893 EUR_NA11893 1 53.0507696381745
NA11894 EUR_NA11894 2 38.0255721198291
NA11919 EUR_NA11919 1 39.6802968740264
NA11920 EUR_NA11920 2 64.0385418879932
NA11930 EUR_NA11930 1 41.5177201768457
NA11931 EUR_NA11931 2 49.3898801637824
NA11932 EUR_NA11932 1 64.2930735797879
NA11933 EUR_NA11933 2 66.9871432443186
NA11992 EUR_NA11992 1 74.0589007524036
NA11993 EUR_NA11993 2 52.7071149184618
NA11994 EUR_NA11994 1 32.5562963934668
NA11995 EUR_NA11995 2 60.7911213724609
NA12003 EUR_NA12003 1 56.7316065036044
NA12004 EUR_NA12004 2 56.230009883386
NA12006 EUR_NA12006 2 47.4218170715103
NA12043 EUR_NA12043 1 69.6426830383778
NA12044 EUR_NA12044 2 57.0031347371698
NA12045 EUR_NA12045 1 47.2778777006073
NA12046 EUR_NA12046 2 50.3684267463049
NA12058 EUR_NA12058 2 30.1777332747729
NA12144 EUR_NA12144 1 39.0070681304943
NA12154 EUR_NA12154 1 37.4880857857345
NA12155 EUR_NA12155 1 46.9727166882245
NA12249 EUR_NA12249 2 40.1587223469714
NA12272 EUR_NA12272 1 46.0979388919515
NA12273 EUR_NA12273 2 52.2926817490137
NA12275 EUR_NA12275 2 36.0482376095273
NA12282 EUR_NA12282 1 67.7162056160525
NA12283 EUR_NA12283 2 34.5761022737986
NA12286 EUR_NA12286 1 33.6194946200131
NA12287 EUR_NA12287 2 51.8589383987899
NA12340 EUR_NA12340 1 43.0831020538555
NA12341 EUR_NA12341 2 56.7057833161774
NA12342 EUR_NA12342 1 48.9825332633545
NA12347 EUR_NA12347 1 58.1330663428299
NA12348 EUR_NA12348 2 52.1007781445736
NA12383 EUR_NA12383 2 36.1335743114079
NA12399 EUR_NA12399 1 62.1787803640242
NA12400 EUR_NA12400 2 41.5380491503025
NA12413 EUR_NA12413 1 56.2877303909993
NA12489 EUR_NA12489 2 50.7998252198929
NA12546 EUR_NA12546 1 44.049362857737
NA12716 EUR_NA12716 1 44.8079815700563
NA12717 EUR_NA12717 2 41.3007323960488
NA12718 EUR_NA12718 2 75.8451974023788
NA12748 EUR_NA12748 1 56.7594657999154
NA12749 EUR_NA12749 2 29.8719653048807
NA12750 EUR_NA12750 1 61.2501153875979
NA12751 EUR_NA12751 2 31.0447479952274
NA12761 EUR_NA12761 2 40.4916776320621
NA12763 EUR_NA12763 2 59.4189071070722
NA12775 EUR_NA12775 1 57.2467482503688
NA12777 EUR_NA12777 1 42.1579132919581
NA12778 EUR_NA12778 2 60.9625669277375
NA12812 EUR_NA12812 1 56.12300079764
NA12814 EUR_NA12814 1 63.2859205244397
NA12815 EUR_NA12815 2 62.528532282013
NA12827 EUR_NA12827 1 67.3768131153953
NA12829 EUR_NA12829 1 56.600319395181
NA12830 EUR_NA12830 2 47.2716126442677
NA12842 EUR_NA12842 1 43.6798201589342
NA12843 EUR_NA12843 2 49.7102999355945
NA12872 EUR_NA12872 1 52.8238551198457
NA12873 EUR_NA12873 2 59.2586871669379
NA12874 EUR_NA12874 1 21.6484438752187
NA12889 EUR_NA12889 1 52.1496865656269
NA12890 EUR_NA12890 2 66.7905051688586
NA18486 AFR_NA18486 1 39.1325604852009
NA18487 AFR_NA18487 1 54.4808665154778
NA18489 AFR_NA18489 2 39.8580976750917
NA18498 AFR_NA18498 1 29.9313100755526
NA18499 AFR_NA18499 2 39.6326366995269
NA18501 AFR_NA18501 1 46.1090731161247
NA18502 AFR_NA18502 2 41.6241971906086
NA18504 AFR_NA18504 1 54.8122180375981
NA18505 AFR_NA18505 2 48.9769999747349
NA18507 AFR_NA18507 1 55.0360160571557
NA18508 AFR_NA18508 2 46.5852400966773
NA18510 AFR_NA18510 1 58.1676006111921
NA18511 AFR_NA18511 2 59.7114261740288
NA18516 AFR_NA18516 1 56.7084997898814
NA18517 AFR_NA18517 2 52.3590764747641
NA18519 AFR_NA18519 1 32.9723618618005
NA18520 AFR_NA18520 2 53.7555036784055
NA18522 AFR_NA18522 1 51.8371155196852
NA18523 AFR_NA18523 2 53.086433165666
NA18525 ASN_NA18525 2 35.5892832063896
NA18526 ASN_NA18526 2 36.0233080556968
NA18527 ASN_NA18527 2 69.9609738338081
NA18528 ASN_NA18528 2 46.3983087312464
NA18530 ASN_NA18530 1 38.9857179961244
NA18532 ASN_NA18532 2 40.9700811538275
NA18534 ASN_NA18534 1 50.8376782162253
NA18535 ASN_NA18535 2 61.2989345288807
NA18536 ASN_NA18536 1 61.3558258773752
NA18537 ASN_NA18537 2 37.7323778153473
NA18538 ASN_NA18538 2 47.0466216243548
NA18539 ASN_NA18539 2 48.6261252253735
NA18541 ASN_NA18541 2 57.3656587762455
NA18542 ASN_NA18542 2 43.2379880742317
NA18543 ASN_NA18543 1 31.8651235602288
NA18544 ASN_NA18544 1 47.9028343325119
NA18545 ASN_NA18545 2 55.812236111178
NA18546 ASN_NA18546 1 49.2326721373933
NA18547 ASN_NA18547 2 53.8948007459982
NA18548 ASN_NA18548 1 54.914209897532
NA18549 ASN_NA18549 1 57.3343415144665
NA18550 ASN_NA18550 2 41.6196112928735
NA18552 ASN_NA18552 2 47.9778127184957
NA18553 ASN_NA18553 2 47.285388606327
NA18555 ASN_NA18555 2 50.7052299742717
NA18557 ASN_NA18557 1 40.687526581535
NA18558 ASN_NA18558 1 47.0064032152503
NA18559 ASN_NA18559 1 55.1258193073878
NA18560 ASN_NA18560 2 41.6373216026769
NA18561 ASN_NA18561 1 36.6907922363146
NA18562 ASN_NA18562 1 47.8627606281471
NA18563 ASN_NA18563 1 60.7864681265047
NA18564 ASN_NA18564 2 40.427870878569
NA18565 ASN_NA18565 2 41.8975236932662
NA18566 ASN_NA18566 2 38.3560054493465
NA18567 ASN_NA18567 2 42.5592470831395
NA18570 ASN_NA18570 2 58.5121960952011
NA18571 ASN_NA18571 2 39.5882109965916
NA18572 ASN_NA18572 1 45.495545509777
NA18573 ASN_NA18573 2 53.6737640417235
NA18574 ASN_NA18574 2 33.2900455688657
NA18576 ASN_NA18576 2 65.5342769038845
NA18577 ASN_NA18577 2 50.880287730591
NA18579 ASN_NA18579 2 52.1967999776302
NA18582 ASN_NA18582 2 82.2820951916409
NA18592 ASN_NA18592 2 42.2981813724533
NA18593 ASN_NA18593 2 52.9619067982853
NA18595 ASN_NA18595 2 50.268202385264
NA18596 ASN_NA18596 2 54.3900612127989
NA18597 ASN_NA18597 2 47.9008129191268
NA18599 ASN_NA18599 2 30.7921170179314
NA18602 ASN_NA18602 2 50.8316706192487
NA18603 ASN_NA18603 1 63.9476545107542
NA18605 ASN_NA18605 1 51.4117394720952
NA18606 ASN_NA18606 1 43.6085798426392
NA18608 ASN_NA18608 1 39.6076661264379
NA18609 ASN_NA18609 1 40.2961728520018
NA18610 ASN_NA18610 2 54.2083388717422
NA18611 ASN_NA18611 1 40.8348615016398
NA18612 ASN_NA18612 1 46.8810447997312
NA18613 ASN_NA18613 1 51.9511759605421
NA18614 ASN_NA18614 2 45.4397710678905
NA18615 ASN_NA18615 2 36.9467521447068
NA18616 ASN_NA18616 2 42.4422756558724
NA18617 ASN_NA18617 2 50.5618023313998
NA18618 ASN_NA18618 2 64.175224268068
NA18619 ASN_NA18619 2 43.8685134471128
NA18620 ASN_NA18620 1 57.5783216819256
NA18621 ASN_NA18621 1 70.997478229835
