FID IID Phenotype
HG00457 ASN_HG00457 11.2864231644549
HG00458 ASN_HG00458 9.4306310300251
HG00463 ASN_HG00463 8.21799272639266
HG00464 ASN_HG00464 11.1970066663281
HG00472 ASN_HG00472 9.72586722894899
HG00473 ASN_HG00473 9.85183212737881
HG00475 ASN_HG00475 7.32555448751353
HG00476 ASN_HG00476 9.45691837567254
HG00478 ASN_HG00478 11.7078870294779
HG00479 ASN_HG00479 9.33385840538178
HG00500 ASN_HG00500 9.51868476751361
HG00501 ASN_HG00501 8.34498700514266
HG00512 ASN_HG00512 8.60942116067874
HG00513 ASN_HG00513 8.32786364459702
HG00524 ASN_HG00524 10.3448532913861
HG00525 ASN_HG00525 4.78338508764434
HG00530 ASN_HG00530 8.99606401595109
HG00531 ASN_HG00531 12.8988006593674
HG00533 ASN_HG00533 8.66859752884746
HG00534 ASN_HG00534 7.62796214143631
HG00536 ASN_HG00536 11.1855055382716
HG00537 ASN_HG00537 7.52587762565056
HG00542 ASN_HG00542 10.061479181553
HG00543 ASN_HG00543 7.27678587235295
HG00553 AMR_HG00553 11.7881203825355
HG00554 AMR_HG00554 9.86257738538628
HG00556 ASN_HG00556 8.71083589643298
HG00557 ASN_HG00557 9.51192081640972
HG00559 ASN_HG00559 10.5681841445473
HG00560 ASN_HG00560 11.2896306942504
HG00565 ASN_HG00565 10.6494358566852
HG00566 ASN_HG00566 7.88843790707307
HG00577 ASN_HG00577 11.6954177760312
HG00578 ASN_HG00578 10.602437030715
HG00580 ASN_HG00580 9.98254821503886
HG00581 ASN_HG00581 10.8212531530555
HG00583 ASN_HG00583 11.5164661880085
HG00584 ASN_HG00584 8.03657803821577
HG00589 ASN_HG00589 8.3159500668893
HG00590 ASN_HG00590 9.30701498348813
HG00592 ASN_HG00592 9.02307430411542
HG00593 ASN_HG00593 10.6304678234462
HG00595 ASN_HG00595 9.78075080957049
HG00596 ASN_HG00596 8.10166583352772
HG00607 ASN_HG00607 10.3918612122723
HG00608 ASN_HG00608 10.1235174072808
HG00610 ASN_HG00610 10.5801914205982
HG00611 ASN_HG00611 12.9185037535289
HG00613 ASN_HG00613 10.5132256604651
HG00614 ASN_HG00614 9.48482541857032
HG00619 ASN_HG00619 10.4289452653371
HG00620 ASN_HG00620 9.06377801705635
HG00625 ASN_HG00625 10.0822483969214
HG00626 ASN_HG00626 7.92092367137651
HG00628 ASN_HG00628 8.26906286347484
HG00629 ASN_HG00629 8.87224593049474
HG00634 ASN_HG00634 9.29841398347378
HG00635 ASN_HG00635 10.4361012738994
HG00637 AMR_HG00637 12.1638277856336
HG00638 AMR_HG00638 11.0115541223769
HG00640 AMR_HG00640 11.0976713942995
HG00641 AMR_HG00641 8.22661060257869
HG00650 ASN_HG00650 11.6374447524522
HG00651 ASN_HG00651 6.31192207035932
HG00653 ASN_HG00653 11.0859682285563
HG00654 ASN_HG00654 8.90783060561991
HG00656 ASN_HG00656 8.72315051557996
HG00657 ASN_HG00657 9.05557545580723
HG00662 ASN_HG00662 9.12106048243973
HG00663 ASN_HG00663 6.86122666305969
HG00671 ASN_HG00671 10.2038076624961
HG00672 ASN_HG00672 8.15071094848889
HG00683 ASN_HG00683 9.56811587651531
HG00684 ASN_HG00684 10.0483456527618
HG00689 ASN_HG00689 10.5916631555366
HG00690 ASN_HG00690 7.63387914647363
HG00692 ASN_HG00692 7.5542259120923
HG00693 ASN_HG00693 9.99711300698974
HG00698 ASN_HG00698 9.22350474862075
HG00699 ASN_HG00699 9.09306165063841
HG00701 ASN_HG00701 9.44489842760371
HG00702 ASN_HG00702 8.19968814871752
HG00704 ASN_HG00704 10.0313613814839
HG00705 ASN_HG00705 10.4065081826718
HG00707 ASN_HG00707 12.4762425604311
HG00708 ASN_HG00708 7.78813322490067
HG00731 AMR_HG00731 11.9402017107487
HG00732 AMR_HG00732 9.06056855309385
HG00734 AMR_HG00734 9.1963828115082
HG00736 AMR_HG00736 10.1744199595812
HG00737 AMR_HG00737 10.2588578968373
HG00740 AMR_HG00740 6.59240288014563
HG01047 AMR_HG01047 10.1082243623954
HG01048 AMR_HG01048 11.9919753869879
HG01051 AMR_HG01051 12.8166707078062
HG01052 AMR_HG01052 5.66576246210177
HG01055 AMR_HG01055 10.8884044728994
HG01060 AMR_HG01060 9.7343711241541
HG01061 AMR_HG01061 10.0634818542091
HG01066 AMR_HG01066 10.5839952954738
HG01067 AMR_HG01067 10.338784002727
HG01069 AMR_HG01069 12.4637494450025
HG01070 AMR_HG01070 7.64652683283585
HG01072 AMR_HG01072 10.6640541711111
HG01073 AMR_HG01073 7.27431573044209
HG01075 AMR_HG01075 10.9458676582641
HG01079 AMR_HG01079 12.0855405044471
HG01080 AMR_HG01080 7.05459421069742
HG01082 AMR_HG01082 13.8944528331753
HG01083 AMR_HG01083 8.64656631784546
HG01085 AMR_HG01085 11.0461463191424
HG01095 AMR_HG01095 9.98718760574631
HG01097 AMR_HG01097 9.14655632519816
HG01098 AMR_HG01098 10.918906675834
HG01101 AMR_HG01101 13.2549914163733
HG01102 AMR_HG01102 9.60598737900033
HG01104 AMR_HG01104 10.3628569143207
HG01105 AMR_HG01105 8.30434716039318
HG01107 AMR_HG01107 10.4024009404655
HG01108 AMR_HG01108 8.31627619698799
HG01112 AMR_HG01112 9.44822022124987
HG01113 AMR_HG01113 9.57247226442585
HG01124 AMR_HG01124 10.0028584799914
HG01125 AMR_HG01125 7.76020782497461
HG01133 AMR_HG01133 11.6329176166277
HG01134 AMR_HG01134 8.29005749527702
HG01136 AMR_HG01136 10.2347703558607
HG01137 AMR_HG01137 9.59326272245923
HG01140 AMR_HG01140 8.43696185404059
HG01148 AMR_HG01148 10.532228470235
HG01149 AMR_HG01149 8.86584677843262
HG01167 AMR_HG01167 10.9963878522156
HG01168 AMR_HG01168 9.99624359853787
HG01170 AMR_HG01170 10.3313502044361
HG01171 AMR_HG01171 8.99116437224546
HG01173 AMR_HG01173 10.2216766651738
HG01174 AMR_HG01174 11.8549233809197
HG01176 AMR_HG01176 11.0417182715658
HG01183 AMR_HG01183 8.9708469755854
HG01187 AMR_HG01187 12.1984809601726
HG01188 AMR_HG01188 9.64922787355914
HG01190 AMR_HG01190 11.5559101308577
HG01191 AMR_HG01191 11.5989160776697
HG01197 AMR_HG01197 8.42036741808919
HG01198 AMR_HG01198 8.26705511255215
HG01204 AMR_HG01204 7.56396635243466
HG01250 AMR_HG01250 13.2912657587242
HG01251 AMR_HG01251 11.8078566023931
HG01257 AMR_HG01257 8.58623223957087
HG01259 AMR_HG01259 11.3451320321742
HG01271 AMR_HG01271 11.3651146993523
HG01272 AMR_HG01272 9.83754258297544
HG01274 AMR_HG01274 11.2892647844373
HG01275 AMR_HG01275 10.8881184131938
HG01277 AMR_HG01277 10.8412762702396
HG01278 AMR_HG01278 9.37805021935007
HG01334 EUR_HG01334 10.999632878395
HG01342 AMR_HG01342 8.65428014156531
HG01344 AMR_HG01344 10.0850041730527
HG01345 AMR_HG01345 7.60144232116501
HG01350 AMR_HG01350 8.1933400385427
HG01351 AMR_HG01351 9.69719710512804
HG01353 AMR_HG01353 14.0063024474068
HG01354 AMR_HG01354 9.71614739463649
HG01356 AMR_HG01356 10.1899068381983
HG01357 AMR_HG01357 10.1690525397069
HG01359 AMR_HG01359 10.0621664951465
HG01360 AMR_HG01360 9.76405721118277
HG01365 AMR_HG01365 11.9077237775506
HG01366 AMR_HG01366 8.48080372419946
HG01374 AMR_HG01374 11.4531207279857
HG01375 AMR_HG01375 9.99894825267769
HG01377 AMR_HG01377 10.1027157502526
HG01378 AMR_HG01378 10.3444505609199
HG01383 AMR_HG01383 10.6286326007656
HG01384 AMR_HG01384 7.89436136369726
HG01389 AMR_HG01389 10.2337116528855
HG01390 AMR_HG01390 10.9832715677296
HG01437 AMR_HG01437 10.4472822082494
HG01440 AMR_HG01440 10.3891637901617
HG01441 AMR_HG01441 10.6930050294402
HG01455 AMR_HG01455 10.1396597372496
HG01456 AMR_HG01456 7.45652974201959
HG01461 AMR_HG01461 11.0046090216273
HG01462 AMR_HG01462 7.82797662877318
HG01465 AMR_HG01465 11.3951677678146
HG01488 AMR_HG01488 12.1626378936388
HG01489 AMR_HG01489 11.1274792092568
HG01491 AMR_HG01491 11.481611471696
HG01492 AMR_HG01492 10.7347238835466
HG01494 AMR_HG01494 14.559212315351
HG01495 AMR_HG01495 10.391935688749
HG01497 AMR_HG01497 10.9632938742861
HG01498 AMR_HG01498 11.9527449332191
HG01515 EUR_HG01515 13.082394445432
HG01516 EUR_HG01516 8.21101841827493
HG01518 EUR_HG01518 11.0413243007922
HG01519 EUR_HG01519 9.18513952558835
HG01521 EUR_HG01521 12.5764898078195
HG01522 EUR_HG01522 9.88950055542797
HG01550 AMR_HG01550 10.8582332778867
HG01551 AMR_HG01551 10.7191292892507
HG01617 EUR_HG01617 9.75229830599927
HG01618 EUR_HG01618 9.63431532655659
HG01619 EUR_HG01619 11.9824182869446
HG01620 EUR_HG01620 9.96272391365115
HG01623 EUR_HG01623 7.5881496392995
HG01624 EUR_HG01624 10.4773701294034
HG01625 EUR_HG01625 10.3839200440032
HG01626 EUR_HG01626 9.02956716797227
NA06984 EUR_NA06984 9.1363594193893
NA06986 EUR_NA06986 12.670102606757
NA06989 EUR_NA06989 10.1232029604704
NA06994 EUR_NA06994 10.1150873133444
NA07000 EUR_NA07000 10.7997152038088
NA07037 EUR_NA07037 9.21686978025066
NA07048 EUR_NA07048 9.76674042710878
NA07051 EUR_NA07051 11.0490690564886
NA07056 EUR_NA07056 8.68594887298957
NA07347 EUR_NA07347 8.36057955100197
NA07357 EUR_NA07357 10.510205618072
NA10847 EUR_NA10847 10.0481537727071
NA10851 EUR_NA10851 11.7216696969951
NA11829 EUR_NA11829 10.6464219514491
NA11830 EUR_NA11830 8.32959973028568
NA11831 EUR_NA11831 10.818617583757
NA11843 EUR_NA11843 12.9352370220662
NA11892 EUR_NA11892 10.7271965670149
NA11893 EUR_NA11893 12.2047390736949
NA11894 EUR_NA11894 7.58079347149208
NA11919 EUR_NA11919 9.74441341340838
NA11920 EUR_NA11920 12.3299274850679
NA11930 EUR_NA11930 12.0287982184386
NA11931 EUR_NA11931 10.1684150299484
NA11932 EUR_NA11932 11.5528251711327
NA11933 EUR_NA11933 11.1529994677888
NA11992 EUR_NA11992 13.3891830686822
NA11993 EUR_NA11993 9.16446118747622
NA11994 EUR_NA11994 9.82641951830026
NA11995 EUR_NA11995 9.11818248089589
NA12003 EUR_NA12003 10.3171946362711
NA12004 EUR_NA12004 9.61721648860992
NA12006 EUR_NA12006 9.11855190892627
NA12043 EUR_NA12043 10.8410632413623
NA12044 EUR_NA12044 11.7326906123734
NA12045 EUR_NA12045 10.7233599765644
NA12046 EUR_NA12046 9.2822622359029
NA12058 EUR_NA12058 6.55866272178517
NA12144 EUR_NA12144 10.132481117694
NA12154 EUR_NA12154 10.2822065290861
NA12155 EUR_NA12155 10.8331216878659
NA12249 EUR_NA12249 7.40065897195916
NA12272 EUR_NA12272 11.7003227432643
NA12273 EUR_NA12273 9.41688757898027
NA12275 EUR_NA12275 7.72995243729705
NA12282 EUR_NA12282 10.3254440169344
NA12283 EUR_NA12283 9.23781456963243
NA12286 EUR_NA12286 9.46097135786686
NA12287 EUR_NA12287 9.6562473521374
NA12340 EUR_NA12340 12.2096163479883
NA12341 EUR_NA12341 8.9041974820667
NA12342 EUR_NA12342 9.64445034680944
NA12347 EUR_NA12347 12.6505691355475
NA12348 EUR_NA12348 10.2290383581294
NA12383 EUR_NA12383 7.83854595145886
NA12399 EUR_NA12399 13.7657353544099
NA12400 EUR_NA12400 8.28303023341708
NA12413 EUR_NA12413 10.7625606697238
NA12489 EUR_NA12489 8.51147815225689
NA12546 EUR_NA12546 10.9348874710073
NA12716 EUR_NA12716 10.8961444032904
NA12717 EUR_NA12717 9.09179402336977
NA12718 EUR_NA12718 11.3705921816792
NA12748 EUR_NA12748 13.1844128375341
NA12749 EUR_NA12749 6.1585831952522
NA12750 EUR_NA12750 12.5976910786079
NA12751 EUR_NA12751 6.24084091964031
NA12761 EUR_NA12761 7.66619971216589
NA12763 EUR_NA12763 9.46242163339385
NA12775 EUR_NA12775 11.5220963274868
NA12777 EUR_NA12777 10.6435881395769
NA12778 EUR_NA12778 10.9543064024231
NA12812 EUR_NA12812 10.4240376577255
NA12814 EUR_NA12814 11.2276439904288
NA12815 EUR_NA12815 11.0890969800875
NA12827 EUR_NA12827 13.8001151554479
NA12829 EUR_NA12829 9.58711842570293
NA12830 EUR_NA12830 10.5716427707484
NA12842 EUR_NA12842 9.35532756944388
NA12843 EUR_NA12843 8.55702256277468
NA12872 EUR_NA12872 10.1643183396997
NA12873 EUR_NA12873 9.98797454498516
NA12874 EUR_NA12874 10.271719109348
NA12889 EUR_NA12889 9.46812006239494
NA12890 EUR_NA12890 12.2745419049959
NA18486 AFR_NA18486 9.0590954721388
NA18487 AFR_NA18487 12.5388572636763
NA18489 AFR_NA18489 6.87095264675093
NA18498 AFR_NA18498 7.38267847911061
NA18499 AFR_NA18499 8.72282214824433
NA18501 AFR_NA18501 10.4617676603422
NA18502 AFR_NA18502 7.21785195612819
NA18504 AFR_NA18504 12.2517547830647
NA18505 AFR_NA18505 9.08424143654234
NA18507 AFR_NA18507 9.92811347570117
NA18508 AFR_NA18508 10.6906121696202
NA18510 AFR_NA18510 11.899075096269
NA18511 AFR_NA18511 9.13634115476841
NA18516 AFR_NA18516 10.7543637580416
NA18517 AFR_NA18517 9.23932976160279
NA18519 AFR_NA18519 9.63657718590045
NA18520 AFR_NA18520 10.9821429188157
NA18522 AFR_NA18522 9.62751914412266
NA18523 AFR_NA18523 9.1639499655483
NA18525 ASN_NA18525 8.30516767662106
NA18526 ASN_NA18526 7.44861462691391
NA18527 ASN_NA18527 10.3646954891891
NA18528 ASN_NA18528 8.14378669282486
NA18530 ASN_NA18530 9.57684359283381
NA18532 ASN_NA18532 8.8409192898289
NA18534 ASN_NA18534 11.0102758895342
NA18535 ASN_NA18535 9.80210538730458
NA18536 ASN_NA18536 11.6103767276061
NA18537 ASN_NA18537 6.70310345280104
NA18538 ASN_NA18538 8.30985291593314
NA18539 ASN_NA18539 9.578320705166
NA18541 ASN_NA18541 9.73735401503536
NA18542 ASN_NA18542 7.94770249194935
NA18543 ASN_NA18543 7.69839056615612
NA18544 ASN_NA18544 9.85421443053797
NA18545 ASN_NA18545 10.1426955722765
NA18546 ASN_NA18546 11.6447274962861
NA18547 ASN_NA18547 10.8193595680138
NA18548 ASN_NA18548 9.98931217157665
NA18549 ASN_NA18549 11.7265246950533
NA18550 ASN_NA18550 7.81012568794178
NA18552 ASN_NA18552 8.41802876406405
NA18553 ASN_NA18553 10.2831928602224
NA18555 ASN_NA18555 8.5834443325983
NA18557 ASN_NA18557 9.20490996778647
NA18558 ASN_NA18558 11.6989363438272
NA18559 ASN_NA18559 9.47465596609469
NA18560 ASN_NA18560 8.36584237193662
NA18561 ASN_NA18561 8.24112451051116
NA18562 ASN_NA18562 10.297515333602
NA18563 ASN_NA18563 9.17914916828368
NA18564 ASN_NA18564 8.22333146140246
NA18565 ASN_NA18565 8.56659729548768
NA18566 ASN_NA18566 8.02480094866052
NA18567 ASN_NA18567 8.78645479097537
NA18570 ASN_NA18570 9.61315968211736
NA18571 ASN_NA18571 8.36272393028904
NA18572 ASN_NA18572 10.8306922610181
NA18573 ASN_NA18573 10.4936707623455
NA18574 ASN_NA18574 6.64473994789311
NA18576 ASN_NA18576 11.2036328632245
NA18577 ASN_NA18577 9.68825761236086
NA18579 ASN_NA18579 11.1046118973125
NA18582 ASN_NA18582 12.7027851231546
NA18592 ASN_NA18592 7.17149326977026
NA18593 ASN_NA18593 9.98763003135728
NA18595 ASN_NA18595 10.2527040457412
NA18596 ASN_NA18596 8.36041365485524
NA18597 ASN_NA18597 8.50323669211857
NA18599 ASN_NA18599 4.39540689751972
NA18602 ASN_NA18602 9.04690741023507
NA18603 ASN_NA18603 10.1636247388666
NA18605 ASN_NA18605 11.599976540424
NA18606 ASN_NA18606 8.36922775798194
NA18608 ASN_NA18608 9.08626919927333
NA18609 ASN_NA18609 9.44212981500313
NA18610 ASN_NA18610 9.83508454211272
NA18611 ASN_NA18611 9.61012238667402
NA18612 ASN_NA18612 7.59075030048798
NA18613 ASN_NA18613 10.0495890635203
NA18614 ASN_NA18614 8.40284850838689
NA18615 ASN_NA18615 6.48574226125646
NA18616 ASN_NA18616 6.83936159866664
NA18617 ASN_NA18617 7.83721105446175
NA18618 ASN_NA18618 10.2056998892348
NA18619 ASN_NA18619 6.79386828868718
NA18620 ASN_NA18620 11.9322176158468
NA18621 ASN_NA18621 11.6534503340811
NA18622 ASN_NA18622 11.6216877140715
NA18623 ASN_NA18623 8.99416482660466
NA18624 ASN_NA18624 7.85971165606544
NA18626 ASN_NA18626 9.67084343202389
NA18627 ASN_NA18627 7.70961210004782
NA18628 ASN_NA18628 8.6825579912727
NA18630 ASN_NA18630 11.0554733717844
NA18631 ASN_NA18631 9.53884706317037
NA18632 ASN_NA18632 11.757945386875
NA18633 ASN_NA18633 11.1649438824645
NA18634 ASN_NA18634 6.84258659103602
NA18635 ASN_NA18635 12.6239243326921
NA18636 ASN_NA18636 10.1128181785173
NA18637 ASN_NA18637 10.3252351933866
NA18638 ASN_NA18638 8.38949029106963
NA18639 ASN_NA18639 9.84363115113233
NA18640 ASN_NA18640 8.24761970102188
NA18641 ASN_NA18641 10.585991326068
NA18642 ASN_NA18642 8.87264265446866
NA18643 ASN_NA18643 11.3395062390064
NA18645 ASN_NA18645 8.14223638393412
NA18647 ASN_NA18647 11.7476703505088
NA18740 ASN_NA18740 7.8293586218193
NA18745 ASN_NA18745 9.92839483650257
NA18747 ASN_NA18747 9.0430641826409
NA18748 ASN_NA18748 9.866142318161
NA18749 ASN_NA18749 8.32511397043266
NA18757 ASN_NA18757 11.2607554461431
NA18853 AFR_NA18853 11.1919580956307
NA18856 AFR_NA18856 9.93419906213273
NA18858 AFR_NA18858 12.600156527866
NA18861 AFR_NA18861 10.2737281803118
NA18867 AFR_NA18867 9.92476953028231
NA18868 AFR_NA18868 12.3310917980241
NA18870 AFR_NA18870 10.2783232185468
NA18871 AFR_NA18871 12.7425666820983
NA18873 AFR_NA18873 9.15376903957715
NA18874 AFR_NA18874 11.6969179823106
NA18907 AFR_NA18907 9.35447642688025
NA18908 AFR_NA18908 12.3919231938945
NA18909 AFR_NA18909 6.85525873360984
NA18910 AFR_NA18910 9.98922525935578
NA18912 AFR_NA18912 8.72157516833139
NA18916 AFR_NA18916 11.1409524736374
NA18917 AFR_NA18917 11.3973566314881
NA18923 AFR_NA18923 7.14719436838262
NA18924 AFR_NA18924 9.35607718130936
NA18933 AFR_NA18933 7.95896115115066
NA18934 AFR_NA18934 9.77124695536732
NA18939 ASN_NA18939 8.17173407188836
NA18940 ASN_NA18940 9.47503660860697
NA18941 ASN_NA18941 8.73565044762182
NA18942 ASN_NA18942 7.10102754087935
